order_id,customer_id,order_date,total_amount
1,6,2025-11-05,3115.02
2,2,2025-10-15,2404.11
3,10,2025-10-14,2148.05
4,6,2025-10-21,2792.47
5,7,2025-11-12,2900.23
6,7,2025-10-26,2189.67
7,4,2025-10-27,4781.36
8,5,2025-10-27,1870.76
9,1,2025-11-02,2380.45
10,1,2025-11-06,3215.23
11,1,2025-10-21,4397.22
12,6,2025-11-07,2308.9
13,6,2025-11-08,4337.14
14,8,2025-11-07,3253.46
15,7,2025-11-10,2915.31
16,5,2025-11-08,1322.79
17,5,2025-11-02,4685.4
18,5,2025-11-11,2302.1
19,3,2025-10-14,2705.4
20,4,2025-10-17,4057.62
